Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,80704.23,9640.48,1047500.00,228,0,13,0,65,0,219,0,16,0.5948567017284608,2796
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,409610.50,53596.13,6142500.00,2684,0,75,0,819,0,2411,0,165,0.9010170977680186,25572
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,380129.70,164762.00,11512250.00,3731,0,37,0,58,0,4509,0,114,0.7449873903615425,52056
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,355174.28,320720.00,114461000.00,5234,0,0,50,82,0,6064,0,147,0.9753141442236533,67920
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,493354.88,338354.81,123388200.00,5835,0,46,0,461,0,6385,0,148,0.9723195051580652,69204
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,430207.28,300580.00,132458500.00,5658,0,0,43,232,0,6343,0,148,0.9739635869396891,70356
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,433736.84,257140.00,136324000.00,5349,0,0,41,107,0,6501,0,151,0.9718186047616462,68856
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,421812.24,212880.00,123855900.00,4914,0,0,23,220,0,5891,0,136,0.9712704905074342,59640
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,395041.16,179850.00,124550800.00,4452,96,0,29,24,84,5319,0,134,0.9742060561707139,57192
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,854824.99,0.00,0,3330,0,30,0,147,0,3828,85,1.3217530691705088,37992
